model;scenario;region;variable;unit;1750;1751;1752;1753;1754;1755;1756;1757;1758;1759;1760;1761;1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
CDIAC;historical;AFR;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.694;2.695;2.96633;3.773;4.818;3.89033;3.72167;4.543;4.972;5.929;9.207;9.911;10.857;10.373;11.77733;13.28433;12.68667;13.73533;11.98267;11.451;13.34667;12.287;11.66367;11.67467;10.406;9.02733;8.49567;8.53233;8.712;8.20967;10.43533;9.812;8.75967;9.07867;9.59567;10.70667;11.70767;11.11733;11.22733;11.418;10.31067;10.01733;9.042;9.185;10.14567;10.098;10.12;10.73233;10.50133;11.81033;13.08633;11.84333;11.02567;13.64733;14.102;13.83433;13.277;13.96267;16.26167;15.49533;15.95367;16.368;15.55767;16.27267;N/A;N/A
CDIAC;historical;CHN;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.66;0.671;0.594;0.68567;1.09267;1.09633;1.30533;1.386;1.49967;1.16967;1.30167;1.29433;1.50333;1.60967;1.826;1.99833;2.2;2.64733;3.29633;3.39167;3.74;3.64467;5.29467;5.83367;4.52467;3.91233;4.675;4.20567;4.16167;4.41467;4.422;4.08833;4.23133;4.41833;4.41467;4.28267;5.027;5.57333;6.897;8.063;9.438;8.833;11.638;20.889;21.85333;19.02267;19.19867;18.74767;24.288;32.22633;31.64333;32.835;38.92167;32.164;44.583;41.932;48.68233;52.79633;51.93467;68.92233;92.70067;97.38667;94.688;93.698;N/A;N/A
CDIAC;historical;EUR;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.18341;46.42282;47.68758;46.66836;50.23203;54.23213;55.73501;53.01143;53.39469;53.695;62.1085;69.98654;72.12331;75.99455;82.36912;90.63945;94.9127;100.00553;109.57454;123.7479;127.57142;134.60986;148.32107;153.80936;133.53582;128.88039;134.91448;131.85673;134.04972;132.59713;122.08797;117.60833;116.60456;109.9626;110.56786;118.619;130.1539;136.64327;146.66482;148.84721;166.03249;185.12864;193.50655;201.09288;201.80071;207.89396;217.04597;232.59916;247.14331;248.06745;263.08866;265.33002;268.88285;277.76244;293.79551;307.92321;321.82248;328.10625;330.50478;303.69575;303.93272;308.43529;294.1214;283.25815;N/A;N/A
CDIAC;historical;IND;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.572;0.77733;0.99;0.90933;1.199;1.07067;1.08533;1.68667;1.408;1.353;1.55833;1.496;1.52167;1.53267;1.86633;1.705;1.84433;2.20367;2.05333;1.74533;1.73067;1.79667;1.606;1.914;1.51067;1.80033;1.991;2.2;2.14867;2.25133;2.46767;1.694;1.628;1.837;2.09;1.98;2.2;2.67667;3.31467;2.838;2.70233;2.651;2.695;2.508;2.00567;2.02033;2.03867;2.05333;2.068;4.73733;5.852;7.39567;7.194;7.601;8.833;10.34733;12.474;14.498;13.71333;14.795;14.795;14.795;14.795;16.15167;N/A;N/A
CDIAC;historical;JPN;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.573;2.55933;2.37967;1.84433;2.30633;4.24233;6.42767;6.96667;6.00233;8.35267;13.10467;18.42133;21.10167;25.80967;30.77067;26.631;34.573;33.58667;28.97767;34.474;26.411;36.78767;42.14833;59.554;59.42567;66.25667;53.328;48.994;44.37767;44.36667;41.51033;38.45233;30.48833;29.00333;30.52867;30.712;27.03067;26.19833;25.77667;27.83733;30.33067;31.999;32.41333;34.26867;35.99933;33.83233;30.624;34.95433;36.84633;35.53367;35.816;32.692;35.84533;36.63733;38.09667;40.337;37.67867;36.26333;33.80667;29.88333;30.57633;30.822;31.53333;31.911;N/A;N/A
CDIAC;historical;LAM;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.07133;10.087;10.56;14.05067;13.43833;14.542;16.59533;18.59367;17.853;18.52033;20.46733;23.56567;24.893;23.34933;25.70333;26.07733;25.22667;24.32467;26.27533;26.972;31.44533;35.86367;35.03133;35.38333;33.09533;26.95733;25.586;24.97367;23.96533;24.354;23.52167;24.99567;24.83433;25.38067;24.453;24.42733;21.13467;22.12833;22.24933;24.244;25.07633;26.422;27.33133;29.49467;33.902;38.324;39.369;42.52233;45.09633;49.82633;51.45067;53.26933;55.60867;56.287;60.357;60.94367;62.99333;65.07233;75.768;68.22933;72.84567;76.879;85.27567;86.295;N/A;N/A
CDIAC;historical;MEA;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.681;14.19367;11.825;13.85633;14.08733;17.083;19.58;24.50067;24.98833;26.07;29.733;30.30133;35.475;41.052;46.17067;48.785;52.79267;63.52133;70.64933;77.418;79.134;84.40667;90.97;92.36333;88.56833;60.962;66.65633;71.621;68.948;61.424;55.319;38.324;37.477;39.27733;36.05067;36.79133;48.94267;67.386;70.224;56.97267;59.11767;31.229;38.192;37.719;43.197;44.121;76.318;78.29433;78.42633;77.55367;77.92033;75.12267;76.62967;90.50067;93.137;90.75367;100.08533;118.91;128.87967;127.556;139.788;135.31833;138.732;148.005;N/A;N/A
CDIAC;historical;OAS;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.12767;3.34033;3.762;4.33767;3.894;3.56033;3.93433;11.36667;9.482;9.328;9.68;11.81767;11.924;11.26767;11.352;12.87733;14.003;17.43133;19.36733;17.75033;19.17667;17.622;25.28167;23.925;20.50033;18.12067;19.28667;20.361;20.009;21.252;21.91567;23.551;26.63467;25.29633;26.741;26.609;29.71833;41.25;34.06333;50.02067;63.64967;64.07133;76.89733;77.49133;87.64433;101.35033;111.573;117.568;132.682;143.92767;139.04733;141.65067;142.329;149.47533;161.711;174.702;187.32267;196.493;202.15433;201.96733;223.74733;236.85567;235.57967;243.05233;N/A;N/A
CDIAC;historical;ROW;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.17559;11.69018;10.93142;10.79931;10.85097;12.92287;14.77499;17.6379;14.10865;14.56367;15.03817;15.89046;15.70436;17.09478;19.20855;20.56688;23.1393;27.6788;33.01113;32.38243;34.75558;35.75814;36.95926;38.87764;36.75885;33.32195;28.91952;29.64527;31.28395;28.02121;27.91903;26.69334;13.4301;13.48674;13.71747;11.94;13.26776;14.06407;17.20218;17.18679;21.57984;20.94903;24.45845;34.25579;36.28696;41.0507;41.83169;40.83884;44.03035;45.90388;44.73534;43.56098;40.98715;39.03756;41.37083;45.68646;44.66086;45.87542;45.35788;41.85459;46.90495;45.65838;46.21127;48.02152;N/A;N/A
CDIAC;historical;RUS;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.85333;18.56067;15.455;14.40633;13.508;13.39067;12.573;12.99833;13.66567;14.05433;14.58233;14.82067;14.553;15.73;16.61733;16.76767;17.86033;17.88233;23.88467;29.194;25.79133;34.92133;N/A;N/A
CDIAC;historical;USA;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.7;37.59433;39.54133;40.23433;36.88667;39.754;41.679;47.52367;42.33533;42.61767;42.70933;43.69933;41.56167;38.225;39.776;38.96567;42.889;48.38533;52.15467;45.37133;48.65667;46.838;46.14133;53.58467;53.075;52.635;61.52667;75.61767;87.483;98.923;110.70033;102.06167;85.25733;78.55467;79.58133;77.11733;76.18967;78.89567;84.821;91.92333;130.53333;136.84367;143.737;132.143;129.789;137.50733;134.145;126.104;125.82533;139.854;146.93067;113.564;137.98767;122.22833;140.40767;150.667;157.498;167.31;153.32167;140.437;148.08933;148.86667;112.54467;113.62633;N/A;N/A
CDIAC;historical;World;Emi|CO2|Energy|Bunkers;Mt/yr;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108.438;130.031;131.23733;137.159;138.80533;152.394;164.83867;187.21633;176.044;181.599;204.908;226.38367;236.665;246.30833;270.82;281.53033;304.26733;333.52;357.34233;374.704;385.968;409.61433;443.41733;476.91967;441.40067;401.874;405.37933;418.00733;425.139;425.81367;420.299;387.28067;349.34533;336.29567;337.74033;343.18533;365.37233;405.933;422.44033;439.351;518.771;518.144;581.76433;597.608;618.079;649.627;695.772;717.805;759.48033;802.439;823.23633;791.318;829.994;840.16167;910.94667;952.85667;1003.112;1056.055;1069.563;1030.71833;1113.21833;1140.579;1094.83;1115.213;N/A;N/A
